,segment,avg_grade,climb_category,climb_category_desc,distance,elev_difference,name,points,resource_state,starred,s_lat,s_lng,e_lat,e_lng,country_code,loc_name,efforts_log,hotel_distances,mean_hotel_distances,std_hotel_distances,median_hotel_distances,25_hotel_distances,75_hotel_distances,num_trainings,regional_code
3626,4754422,27.4,1,4,398.9,109.4,Galleria Barricate Climb,qdvmGadxi@UBo@MKBSAU@k@L_@@KGCGBICGMOu@g@EAM?u@^y@R]Bs@TWNu@r@OVOj@E`@,2,False,44.355453,7.0100940000000005,44.358526,7.0092690000000015,it,Pietraporzio,1.5563025007700002,24,68.7389290729,26.3915981017,78.00330837279999,9.01242309367,9.066564811560001,36,PIE
3627,6496243,10.0,1,4,1428.6,143.0,Strada Statale 21 Climb,qwrmGmr|i@hA|Al@xABX?ZZ^h@MDHALg@o@M?Ah@Yx@Ub@WJO@QDGFEL[DIA_@LIPEFODIAKJKBCACB@LIDILGAk@XODGHMBSN]?IAU@SBOLM@QIUJGAWDEFKA_@PK@GGe@VWD[K]JYRGJKZIHI`@QPETEHCVINOh@ONMTCPEHAPEXEHALWNI@GD[t@Mr@EBCN]^ER]LE?GLG@IGE?WRMPKZMh@Yn@[~A?^HZ@NEZGFCJANJf@H\?PITYZYf@@LGL@JATEN?JIHMl@CXEFCJ,2,False,44.338011,7.032876,44.344113,7.022871,it,Pietraporzio,1.51851393988,24,68.1480613325,26.6704777752,76.4141720055,6.39227152227,6.44438602285,33,PIE
3628,4948434,25.8,1,4,543.2,140.4,Galleria Barricate Climb,gyvmG_jvi@JoBvL{[,2,False,44.358763,7.000808,44.356502,7.00598,it,Pietraporzio,1.7634279935599997,24,69.1056725967,26.325166577399997,78.7132545492,9.74761483477,9.8030624513,58,PIE
3629,4711240,9.7,1,4,1131.7,109.9,Via Saretto Climb,u~smGem~i@NiC?e@KuAKk@Ja@V@XKV{@PUDY@iBTgAJmAJm@Dq@Ec@KQMM[QMMIm@[eBOUWASGQQ?_@HWPQH[@QI{@{@wAA[RiABeAFc@Cw@@cCCmANcAJwBJs@DgA\mDJcBGi@@k@,2,False,44.344278,7.0422759999999975,44.344063,7.054882000000001,it,Sambuco,2.11394335231,26,67.49801763100001,26.614509036199998,76.42380602600001,6.6638789134500005,6.709916968,130,PIE
3630,4891116,9.5,1,4,1299.5,123.2,Via Saretto Climb,{ormGevaj@MtAAbB@LTl@Fh@Aj@G|@O`@W`@MNWLMNId@A`BE`@O^a@f@Ul@Ov@CtAQd@QjBs@pAGXAd@J`@Db@@f@Ed@W~@IP[^CHa@nCW~Bw@nDA~@KhCBd@F`@BXE|ABhAGpAEVQp@ALBVFL^j@XZJ`@EXa@v@Gh@D|C,2,False,44.33678,7.059075,44.339055,7.044003,it,Sambuco,1.96378782735,29,66.9073741942,26.7295471915,75.0517901884,5.445797423609999,5.4827110789,92,PIE
3631,8763147,10.1,3,2,3605.9,364.9,Colle Salas Blanchas da margaro,w}wmGmsaj@i@Ik@WMCm@NKN@FBBFBFAl@d@f@rA?|@_@|@ElADl@CDICEMKMk@mAEEs@NyA`AMh@B~@Ax@[xB]n@OAEIG]o@o@o@Ek@k@m@g@Qa@]qAQa@_AmAAO@GbAmB\}@Nw@?q@k@wAY}@QsAA{AHmAZeCXgABy@Ug@YDc@z@m@n@g@RQNk@zABnEGxBi@nBoGxBc@l@uBvDgAj@gA?s@B{@Ac@Qg@EeAj@[IQSC?CNTn@f@t@r@HPD?DCHq@Zq@V_@D_Aa@q@J}@f@gC~@_@PmAz@mAdAO@UC{@Fw@P[j@S@CGAUOw@sAwEAIFSEy@`@u@BWACE?ORa@LA??QHE\u@ACGA{@l@m@ZKBCHEbAINGKE{@IWGAGJElADpAIrAPz@x@fBEt@QDw@Bi@Om@g@?ILKDM_A_@,2,False,44.364601,7.05863,44.37919,7.0548470000000005,it,Sambuco,2.44247976906,28,66.0980323572,26.3589515949,76.6219638132,8.486735094910001,8.51294964607,277,PIE
3632,14634245,14.5,1,4,1001.8,145.2,Pian della Regina da bivio militare,{urmGed|i@NBRPXHv@Z\RLLVLPC\MXYHaAJGb@\XBrAMtAGLB^PRDTL`@Hj@PV\~@h@NPd@t@j@Zx@Fh@GlACVPPTJ`A@DFDTWHALATHb@?j@G~@Jj@OJ?JBLJ\f@Tz@BZM~@B\Lj@,2,False,44.337745,7.030592,44.330434,7.027543,it,Pietraporzio,1.6989700043399998,24,68.26920874609999,26.66777828,76.5408645886,6.46561483117,6.5186711844700005,50,PIE
3633,9537989,16.5,4,1,3940.2,648.7,Murenz-Becchi rossi,glumGmowi@y@xAOf@i@v@GTYl@i@fBKr@BdAPhAFJr@CCz@Sp@_@h@M`@Rz@`@Df@Af@Gh@FDN_@TMbAO^i@^m@l@[h@ELDP^E\KRJf@PNHAFk@JWX?J|@Pv@XJ@BHqAX_@R{@v@s@vAC\RjAPfCDpAClAMnB?lABx@b@y@DCGj@CNIdBJpBFb@Tv@BZ\rA@VCL@jBBHDBPg@D[R_@Jm@BhARdBKb@Sl@S~@W`AQ|@Yj@g@jASz@i@|AXOT]l@g@n@s@\QBB_@f@W|@It@Ol@SZSRNFFAd@]DA@D_@~@[LDB?JDCGKDL?IM?DEZJ\I\UB]FF?VCJa@j@m@l@DHf@I\SXUHEXc@H[f@c@VYd@[HC?BSXCXMf@OJQj@?FB@FEP@X_@Zm@B@QxAIJQb@_@\_@r@@h@QvALR\RY\MFIRGf@D\Mb@YBLj@ZzBAd@MZg@f@ALV?\Mb@EPa@HKjAq@\KNQTe@JCAh@Qr@Gx@@tBBPCCDBEMDB?FC?@@AGABFZHnBMv@GHm@HU?CLR^HDd@D^MBB[v@[^E@i@EI@j@bAZLHAZDNAZQ,2,False,44.351565,7.006799000000001,44.350256,6.983266,it,Pietraporzio,1.43136376416,23,69.0280523689,26.4297900925,78.1081442995,8.82298452922,8.87880625428,27,PIE
3634,4852201,11.5,2,3,2206.7,261.8,Pirone,ssmmGaa`k@M@c@C}ASa@Be@ESBa@EGM@IMEOPMFs@XmAVCDg@XUCWIEGOAKGC[L?`@FPA?IECOBILm@KYMQHg@V_@BSIWBMFCh@D@LC`@l@R`@XRJLDJRHHJPHPPLTFh@LDZGNDVd@ANBTCJOBA?CMKKQLBx@CLA^KHKT?NFLBZ?l@Qb@Of@MFCN@H\TBPCDEdAMv@Aj@TzAHPEh@HPFDF@BDFR@PAZ@XGV?ZQf@Kj@@b@DRA^[Z?PHT?j@g@nA?\Md@STMFg@KMFAL@lACr@OfBDXKj@E`AOXWPG@_@EU?iAXM@e@CQMOAy@YS^c@TILIPe@`@g@^K@ILKDQNODICC?IHGRONaATSLMBe@Z]JQ@KFQPGNk@XBAAT]VBJ,2,False,44.311781,7.214410000000001,44.31993,7.201505,it,Aisone,2.41497334797,40,60.5665793778,26.191422275500003,68.7538771051,4.87252350881,8.396700028069999,260,PIE
3635,3360306,8.2,1,4,1091.3,89.4,Strada Statale 21 Climb,wpmmGm|yj@^x@H^JfAEt@B`ACx@DTTVBVCJGCCMGk@?SO{@AOSm@eBkCM_@UKOSK?EB@Hb@b@Nn@NVF\NPBJJ|@ATB^Aj@H`@Dr@?\Bj@f@|A?HIBGMIc@Qo@m@wDi@qBEIGCCH@LVt@H^B`AH^?d@JjAHr@Jl@@`@CnAFl@,2,False,44.3113266,7.1829538,44.3115536,7.1789867,it,Vinadio,2.44247976906,35,61.8839439014,26.44351950150001,69.8169437641,4.79546079866,8.82344210498,277,PIE
